time, Quad.IMU.AX
0.644995,-0.108134
0.649995,0.300618
0.654995,0.614593
0.659995,-0.089307
0.664995,0.568249
0.669995,0.043751
0.674995,0.178774
0.679995,-0.615923
0.684995,0.044614
0.689995,0.013736
0.694995,0.577442
0.699995,0.576234
0.704994,-0.226062
0.709994,0.628107
0.714994,-0.254361
0.719994,-0.023215
0.724994,0.745956
0.729994,0.029518
0.734994,0.609525
0.739994,-0.692298
0.744994,0.611802
0.749994,-0.055175
0.754994,-0.217588
0.759994,0.232336
0.764994,0.396728
0.769994,-0.484717
0.774994,0.718128
0.779994,-0.107196
0.784993,-0.138052
0.789993,0.529557
0.794993,-0.946082
0.799993,-0.131651
0.804993,0.135590
0.809993,-0.399417
0.814993,-0.242599
0.819993,-0.189120
0.824993,0.437821
0.829993,0.047764
0.834993,0.292648
0.839993,0.040326
0.844993,0.618253
0.849993,-0.096932
0.854993,-0.119542
0.859993,-0.358590
0.864992,-0.179620
0.869992,-0.482393
0.874992,0.101051
0.879992,-0.102691
0.884992,-0.401122
0.889992,-0.679337
0.894992,-0.707327
0.899992,0.466569
0.904992,-0.023136
0.909992,0.186968
0.914992,-0.334550
0.919992,-0.376317
0.924992,-0.263556
0.929992,0.468849
0.934992,-0.448930
0.939991,0.299121
0.944991,-0.240436
0.949991,1.250663
0.954991,-0.662975
0.959991,0.478878
0.964991,1.185688
0.969991,-0.733526
0.974991,0.962250
0.979991,-0.685528
0.984991,0.175636
0.989991,0.632101
0.994991,-0.609986
0.999991,0.243549
1.004991,0.146974
1.009991,-0.000087
1.014991,0.929106
1.019992,0.598965
1.024992,-0.099843
1.029992,-0.690816
1.034992,0.000237
1.039993,-0.017690
1.044993,-0.060091
1.049993,0.704972
1.054993,-0.080520
1.059994,-0.162303
1.064994,-0.063590
1.069994,-0.292201
1.074994,-0.172407
1.079994,0.559180
1.084995,0.119632
1.089995,-0.126535
1.094995,-0.099730
1.099995,0.462354
1.104996,-0.136299
1.109996,0.512773
1.114996,-0.260328
1.119996,-0.121721
1.124997,-0.348189
1.129997,-0.798841
1.134997,0.360354
1.139997,0.159457
1.144997,-0.323293
1.149998,1.029572
1.154998,0.391416
1.159998,-0.000468
1.164998,-0.371362
1.169999,-0.126841
1.174999,0.457806
1.179999,0.260577
1.184999,-0.461639
1.190000,-0.431028
1.195000,-0.031943
1.200000,-0.161434
1.205000,0.080119
1.210001,0.103901
1.215001,-0.189976
1.220001,-0.816234
1.225001,0.722049
1.230001,0.027480
1.235002,-0.454544
1.240002,-0.527146
1.245002,-0.233910
1.250002,-1.016867
1.255003,0.264800
1.260003,0.926276
1.265003,-0.348228
1.270003,-0.046251
1.275004,0.517172
1.280004,0.450393
1.285004,0.294234
1.290004,-0.898955
1.295004,0.106982
1.300005,0.235144
1.305005,0.059767
1.310005,-0.529593
1.315005,0.052696
1.320006,-0.163588
1.325006,0.372306
1.330006,0.021480
1.335006,-0.252356
1.340007,0.245829
1.345007,-0.417158
1.350007,0.130427
1.355007,-0.726018
1.360008,-0.227495
1.365008,-0.157349
1.370008,-0.284738
1.375008,1.216311
1.380008,-0.568158
1.385009,0.223573
1.390009,-0.126740
1.395009,0.189229
1.400009,-0.004009
1.405010,1.176163
1.410010,-0.144179
1.415010,-0.359588
1.420010,0.463508
1.425011,-0.360757
1.430011,0.902631
1.435011,-0.045541
1.440011,-0.132128
1.445011,0.502200
1.450012,0.007222
1.455012,-0.644798
1.460012,-0.204366
1.465012,0.230241
1.470013,0.218952
1.475013,0.694508
1.480013,-0.840618
1.485013,-0.437803
1.490014,0.449967
1.495014,0.582605
1.500014,0.163707
1.505014,0.078540
1.510015,0.476011
1.515015,-0.038516
1.520015,0.190089
1.525015,0.527771
1.530015,0.214955
1.535016,-0.839940
1.540016,0.019665
1.545016,-0.180543
1.550016,0.374191
1.555017,0.202519
1.560017,0.540184
1.565017,0.662517
1.570017,0.396315
1.575018,-0.887290
1.580018,-0.181525
1.585018,-0.631879
1.590018,-0.036616
1.595019,-0.146502
1.600019,-0.754845
1.605019,0.031534
1.610019,0.032497
1.615019,0.127314
1.620020,-1.070738
1.625020,-0.124273
1.630020,-0.437915
1.635020,0.646366
1.640021,0.458016
1.645021,-0.236568
1.650021,-0.554953
1.655021,-0.193853
1.660022,0.204725
1.665022,0.446545
1.670022,0.730058
1.675022,0.667850
1.680022,0.718556
1.685023,0.500054
1.690023,0.658304
1.695023,-0.001430
1.700023,0.057885
1.705024,-0.672194
1.710024,0.210985
1.715024,-0.116257
1.720024,-0.837599
1.725025,-0.140610
1.730025,-0.743254
1.735025,0.053632
1.740025,-0.040016
1.745026,0.337307
1.750026,0.104575
1.755026,-0.373354
1.760026,0.184770
1.765026,-0.050476
1.770027,0.250143
1.775027,-0.685480
1.780027,0.022960
1.785027,0.175211
1.790028,0.270699
1.795028,-0.207123
1.800028,0.458465
1.805028,-0.559218
1.810029,0.036197
1.815029,0.338289
1.820029,0.538062
1.825029,-0.380969
1.830029,0.094763
1.835030,-0.378746
1.840030,-0.557523
1.845030,0.490602
1.850030,0.298771
1.855031,-0.193928
1.860031,-0.776416
1.865031,-0.275258
1.870031,0.538991
1.875032,0.364754
1.880032,0.079686
1.885032,-0.220131
1.890032,-0.832000
1.895033,0.080803
1.900033,-0.166343
1.905033,-1.196592
1.910033,0.394251
1.915033,0.079174
1.920034,-0.610444
1.925034,0.091404
1.930034,0.613710
1.935034,-0.071981
1.940035,0.202748
1.945035,-0.050921
1.950035,0.419223
1.955035,-0.091379
1.960036,-0.413930
1.965036,-0.597541
